Team Number,Match Number,Team Color,Scout Initals,Cone High Auto,Cone Mid Auto,Cone Low Auto,Cube High Auto,Cube Mid Auto,Cube Low Auto,Mobility Auto,Balance Auto,Cones Collected,Cubes Collected,Cone High,Cone Mid,Cone Low,Cube High,Cube Mid,Cube Low,Cone High (Full Grid),Cone Mid (Full Grid),Cone Low (Full Grid),Cube High (Full Grid),Cube Mid (Full Grid),Cube Low (Full Grid),Endgame Teleop,How in the way of own alliance (none (0) to lots (10)),How tippy (none (0) to lots (10)),How many penalties (none (0) to lots (10)),How speedy (0 (low speed) - 10 (high speed)),Swerve,Died?,Notes,Time Uploaded
"177","7",Blue,"KL",0,0,3,0,0,3,0,0,6,1,20,6,0,0,3,0,0,0,0,0,0,0,10,1,1,1,0.8,1,1,"3 piece auto, missed last place",Thu Apr 20 2023 14:30:20 GMT+0000 (Coordinated Universal Time)
"3767","7",Blue,"Lg",0,0,0,6,0,0,0,12,2,1,10,0,0,5,0,0,0,0,0,0,0,0,10,1,1,1,0.4,0,1,"",Thu Apr 20 2023 14:30:28 GMT+0000 (Coordinated Universal Time)
"8015","7",Red,"HH",0,0,3,0,0,0,0,0,1,2,0,0,0,0,0,4,0,0,0,0,0,0,10,0.4,0.5,1,0,1,0,"Died then fixed it, slow",Thu Apr 20 2023 14:33:08 GMT+0000 (Coordinated Universal Time)
"4419","8",Red,"LP",6,0,0,0,0,3,0,0,2,4,10,0,0,5,0,6,0,0,0,0,0,0,10,1,1,1,0.5,1,1,"",Thu Apr 20 2023 14:37:36 GMT+0000 (Coordinated Universal Time)
"3218","8",Red,"JW",6,0,0,0,0,3,3,0,3,3,10,3,0,10,3,0,0,0,0,0,0,0,10,0.6,1,1,0.7,1,1,"Drop multiple cones at single sub station",Thu Apr 20 2023 14:37:52 GMT+0000 (Coordinated Universal Time)
"2960","8",Blue,"LL",0,0,0,6,0,0,3,12,5,0,25,0,2,5,0,0,0,0,0,0,0,0,10,1,1,1,0.8,1,1,"Pretty good overall. Can pick up cones at any orientation",Thu Apr 20 2023 14:38:12 GMT+0000 (Coordinated Universal Time)
"8016","8",Blue,"Lg",0,0,0,6,0,0,0,0,2,2,0,6,0,0,3,2,0,0,0,0,0,0,10,0.7,1,1,0.3,0,1,"",Thu Apr 20 2023 14:38:14 GMT+0000 (Coordinated Universal Time)
"7072","8",Red,"HH",0,0,0,0,0,0,3,8,2,2,10,0,0,0,0,4,0,0,0,0,0,0,10,0.6,1,1,0.3,1,1,"Triple balance",Thu Apr 20 2023 14:39:14 GMT+0000 (Coordinated Universal Time)
"4522","9",Red,"Jjr",0,0,3,0,0,0,0,0,0,0,30,6,0,0,0,0,0,0,0,0,0,0,10,1,1,1,0.7,1,1,"Clutched triple balance ",Thu Apr 20 2023 14:45:28 GMT+0000 (Coordinated Universal Time)
"4522","9",Red,"Jjr",0,0,3,0,0,0,0,0,0,0,30,6,0,0,0,0,0,0,0,0,0,0,10,1,1,1,0.7,1,1,"Clutched triple balance ",Thu Apr 20 2023 14:45:30 GMT+0000 (Coordinated Universal Time)
"4329","9",Red,"KP",0,0,0,6,0,0,0,12,3,2,0,9,0,0,3,2,0,0,0,0,0,0,10,0.7,0.9,1,0.6,1,1,"Scored mostly mid",Thu Apr 20 2023 14:45:35 GMT+0000 (Coordinated Universal Time)
"5135","9",Blue,"WC",0,0,0,6,0,0,3,12,0,6,0,0,0,10,9,2,18,6,0,9,9,27,10,0.7,0.8,0.7,0.6,1,1,"",Thu Apr 20 2023 14:45:56 GMT+0000 (Coordinated Universal Time)
"1746","9",Red,"AK",0,0,0,6,0,6,3,0,3,0,15,3,0,0,3,2,0,0,0,0,0,0,10,0.7,1,1,0.7,1,1,"",Thu Apr 20 2023 14:46:15 GMT+0000 (Coordinated Universal Time)
"1836","9",Blue,"AJ",0,0,0,0,0,3,3,0,0,7,5,0,0,0,0,16,0,3,0,0,0,0,10,1,1,1,0.7,1,1,"Can only do cube low but decently efficient with jt",Thu Apr 20 2023 14:46:38 GMT+0000 (Coordinated Universal Time)
"3039","Qual 9",Red,"AS",6,0,0,6,0,0,3,0,7,4,10,6,4,0,3,6,3,0,0,0,0,0,2,1,1,1,0.8,1,1,"",Thu Apr 20 2023 14:46:44 GMT+0000 (Coordinated Universal Time)
"6431","8",Blue,"KL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0.1,0,1,"Broken intake? Auto didn’t work, terrible defense",Thu Apr 20 2023 14:48:02 GMT+0000 (Coordinated Universal Time)
"6431","8",Blue,"KL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0.1,0,1,"Broken intake? Auto didn’t work, terrible defense",Thu Apr 20 2023 14:48:02 GMT+0000 (Coordinated Universal Time)
"6431","8",Blue,"KL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0.1,0,1,"Broken intake? Auto didn’t work, terrible defense",Thu Apr 20 2023 14:48:03 GMT+0000 (Coordinated Universal Time)
"6431","8",Blue,"KL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0.1,0,1,"Broken intake? Auto didn’t work, terrible defense",Thu Apr 20 2023 14:48:04 GMT+0000 (Coordinated Universal Time)
