Team Number,Match Number,Team Color,Scout Initals,Pieces Placed Auto 0 0,Pieces Placed Auto 0 1,Pieces Placed Auto 0 2,Pieces Placed Auto 0 3,Pieces Placed Auto 0 4,Pieces Placed Auto 0 5,Pieces Placed Auto 0 6,Pieces Placed Auto 0 7,Pieces Placed Auto 0 8,Pieces Placed Auto 1 0,Pieces Placed Auto 1 1,Pieces Placed Auto 1 2,Pieces Placed Auto 1 3,Pieces Placed Auto 1 4,Pieces Placed Auto 1 5,Pieces Placed Auto 1 6,Pieces Placed Auto 1 7,Pieces Placed Auto 1 8,Pieces Placed Auto 2 0,Pieces Placed Auto 2 1,Pieces Placed Auto 2 2,Pieces Placed Auto 2 3,Pieces Placed Auto 2 4,Pieces Placed Auto 2 5,Pieces Placed Auto 2 6,Pieces Placed Auto 2 7,Pieces Placed Auto 2 8,Pieces Placed Auto 3 0,Pieces Placed Auto 3 1,Pieces Placed Auto 3 2,Pieces Placed Auto 3 3,Pieces Placed Auto 3 4,Pieces Placed Auto 3 5,Pieces Placed Auto 3 6,Pieces Placed Auto 3 7,Pieces Placed Auto 3 8,Mobility Auto,Balance Auto,Cones Collected,Cubes Collected,Pieces Placed 0 0,Pieces Placed 0 1,Pieces Placed 0 2,Pieces Placed 0 3,Pieces Placed 0 4,Pieces Placed 0 5,Pieces Placed 0 6,Pieces Placed 0 7,Pieces Placed 0 8,Pieces Placed 1 0,Pieces Placed 1 1,Pieces Placed 1 2,Pieces Placed 1 3,Pieces Placed 1 4,Pieces Placed 1 5,Pieces Placed 1 6,Pieces Placed 1 7,Pieces Placed 1 8,Pieces Placed 2 0,Pieces Placed 2 1,Pieces Placed 2 2,Pieces Placed 2 3,Pieces Placed 2 4,Pieces Placed 2 5,Pieces Placed 2 6,Pieces Placed 2 7,Pieces Placed 2 8,Pieces Placed 3 0,Pieces Placed 3 1,Pieces Placed 3 2,Pieces Placed 3 3,Pieces Placed 3 4,Pieces Placed 3 5,Pieces Placed 3 6,Pieces Placed 3 7,Pieces Placed 3 8,Endgame Teleop,Notes,Time Uploaded
"4415","3",Blue,"AJ",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,Mobility,Engaged,6,1,false,false,true,true,false,false,false,false,false,false,false,true,true,true,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,Park,"Great auto and consistent scorer.",Fri Mar 31 2023 16:28:57 GMT+0000 (Coordinated Universal Time)
"4419","3",Red,"IL",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,None,None,0,0,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,Engaged,"",Fri Mar 31 2023 16:29:24 GMT+0000 (Coordinated Universal Time)
"4014","4",Red,"Lg",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,None,None,0,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,None,"",Fri Mar 31 2023 16:38:28 GMT+0000 (Coordinated Universal Time)
"4014","4",Red,"Lg",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,None,None,0,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,None,"No show",Fri Mar 31 2023 16:38:49 GMT+0000 (Coordinated Universal Time)
"8060","4",Red,"IL",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,None,None,0,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,None,"No activity this match",Fri Mar 31 2023 16:43:04 GMT+0000 (Coordinated Universal Time)
"3749","Match 4",Red,"AS",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,Mobility,Docked,2,2,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,None,"messed up one cone place in auto and one cube place in teleop ",Fri Mar 31 2023 16:43:35 GMT+0000 (Coordinated Universal Time)
"3476","4",Blue,"LL",false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,Mobility,Engaged,4,4,false,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,Engaged,"Very good robot overall. 2 bot balance. Missed one cone in auto (otherwise would’ve gotten 2 cone + balance auto). Fast and reliable shooting",Fri Mar 31 2023 16:43:39 GMT+0000 (Coordinated Universal Time)
"4698","4",Blue,"SRT",false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,Attempted Mobility,None,3,2,false,false,false,false,false,false,false,false,false,true,true,true,false,true,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,Engaged,"Pretty fast. Looked like they worked well with other teams. Can only do mid and low?",Fri Mar 31 2023 16:43:51 GMT+0000 (Coordinated Universal Time)
"981","4",Blue,"KL",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,Mobility,None,1,1,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,Park,"Slow intake and robot, very inconsistent autos and pick ups(cones and cubes)",Fri Mar 31 2023 16:43:55 GMT+0000 (Coordinated Universal Time)
"3476","4",Blue,"MR",false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,Mobility,Engaged,5,4,false,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,Engaged,"quick and reliable. doesnt drop cones. auto cone low tried to be on top.",Fri Mar 31 2023 16:44:03 GMT+0000 (Coordinated Universal Time)
"3476","4",Blue,"MR",false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,Mobility,Engaged,5,4,false,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,Engaged,"quick and reliable. doesnt drop cones. auto cone low tried to be on top.",Fri Mar 31 2023 16:44:15 GMT+0000 (Coordinated Universal Time)
"7042","5",Red,"LL",false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,Mobility,None,2,1,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,Engaged,"2 bot balance. Very slow intake.",Fri Mar 31 2023 16:50:20 GMT+0000 (Coordinated Universal Time)
"4079","5",Red,"Lg",false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,Mobility,None,1,0,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,Engaged,"Jank ",Fri Mar 31 2023 16:50:31 GMT+0000 (Coordinated Universal Time)
"9084","4",Blue,"HH",false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,Mobility,Engaged,0,7,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,false,Engaged,"Good driving some issues in sub station",Fri Mar 31 2023 16:50:34 GMT+0000 (Coordinated Universal Time)
