Team Number,Match Number,Team Color,Scout Initals,Cone High Auto,Cone Mid Auto,Cone Low Auto,Cube High Auto,Cube Mid Auto,Cube Low Auto,Mobility Auto,Balance Auto,Cones Collected,Cubes Collected,Cone High,Cone Mid,Cone Low,Cube High,Cube Mid,Cube Low,Cone High (Full Grid),Cone Mid (Full Grid),Cone Low (Full Grid),Cube High (Full Grid),Cube Mid (Full Grid),Cube Low (Full Grid),Endgame Teleop,How in the way of own alliance (none (0) to lots (10)),How tippy (none (0) to lots (10)),How many penalties (none (0) to lots (10)),How speedy (0 (low speed) - 10 (high speed)),Swerve,Died?,Notes,Time Uploaded
"1901","35",Red,"ARM",1,0,0,1,0,0,Mobility,None,0,6,0,0,0,0,0,3,0,0,0,0,0,0,Engaged,0,0,0,3,Yes,No,"Cube engaged ",Fri Apr 21 2023 05:59:45 GMT+0000 (Coordinated Universal Time)
"1501","35",Red,"ARM",1,0,0,1,0,0,Mobility,None,0,6,0,0,0,0,0,3,0,0,0,0,0,0,Engaged,0,0,0,3,Yes,No,"Cube engaged 1901 is sus",Fri Apr 21 2023 06:00:08 GMT+0000 (Coordinated Universal Time)
"1629","Qual 50",Red,"AS",0,0,0,1,0,0,Mobility,Docked,4,0,3,0,0,0,0,0,0,0,0,0,0,0,Engaged,3,0,0,3,Yes,No,"",Fri Apr 21 2023 06:00:43 GMT+0000 (Coordinated Universal Time)
"2960","35",Red,"JJR",1,0,0,1,0,0,Mobility,None,3,0,1,0,0,0,0,0,0,0,0,0,0,0,Engaged,2,0,0,0,No,No,"https://media.tenor.com/gaEpIfzxzPEAAAAM/pedro-monkey-puppet.gif ",Fri Apr 21 2023 06:01:04 GMT+0000 (Coordinated Universal Time)
"3039","Qual 50",Blue,"AS",1,0,0,1,1,0,Mobility,None,6,3,3,3,0,1,1,1,0,0,0,0,0,0,Park,0,0,0,7,Yes,No,"",Fri Apr 21 2023 06:04:15 GMT+0000 (Coordinated Universal Time)
"1468","33",Red,"JJR",1,0,1,0,0,0,Mobility,None,5,2,2,2,0,1,0,1,0,0,0,0,0,0,Engaged,1,0,0,4,Yes,No,"Dainty",Fri Apr 21 2023 06:12:30 GMT+0000 (Coordinated Universal Time)
"8592","33",Red,"ARM",1,0,0,0,0,0,Mobility,Docked,3,1,2,1,0,0,1,1,0,0,0,0,0,0,Engaged,6,0,0,2,Yes,No,"Browned out a lot",Fri Apr 21 2023 06:12:31 GMT+0000 (Coordinated Universal Time)
"8717","Qual 16",Red,"AS",0,0,0,1,0,0,None,Attempted,0,2,0,0,0,1,1,1,0,0,0,0,0,0,Engaged,2,2,0,2,No,No,"",Fri Apr 21 2023 06:12:49 GMT+0000 (Coordinated Universal Time)
"9062","10",Red,"JW ",0,0,1,0,0,0,Mobility,None,0,4,0,0,0,0,0,1,0,0,0,0,0,0,Engaged,0,0,0,4,Yes,No,"Shoots cubes, cannonbot",Fri Apr 21 2023 06:18:00 GMT+0000 (Coordinated Universal Time)
"4069","Qual -6",Red,"AS",0,0,1,1,0,0,None,None,5,0,5,0,0,0,0,0,0,0,0,0,0,0,Engaged,0,5,0,5,Yes,No,"",Fri Apr 21 2023 06:19:19 GMT+0000 (Coordinated Universal Time)
"1816","33",Red,"ARM",1,0,0,0,0,0,Mobility,Engaged,3,1,1,1,1,1,0,0,0,0,0,0,0,0,Engaged,2,8,0,1,Yes,No,"Tippy but consistent ",Fri Apr 21 2023 06:21:21 GMT+0000 (Coordinated Universal Time)
"3767","33",Blue,"JJR",0,0,0,1,0,0,Mobility,None,4,1,2,1,1,0,1,0,0,0,0,0,0,0,Engaged,0,2,0,6,No,No,"Slow bad strats",Fri Apr 21 2023 06:21:30 GMT+0000 (Coordinated Universal Time)
"4112","Qual 16",Blue,"AS",1,0,0,0,0,0,Mobility,None,1,4,1,0,0,0,0,4,0,0,0,0,0,0,Engaged,0,1,0,4,Yes,No,"",Fri Apr 21 2023 06:22:36 GMT+0000 (Coordinated Universal Time)
"2960","48",Blue,"JJR",1,0,0,0,0,1,Mobility,None,2,5,0,0,0,1,0,4,0,0,0,0,0,0,Park,3,0,0,4,Yes,No,"Struggle with placement ",Fri Apr 21 2023 06:27:42 GMT+0000 (Coordinated Universal Time)
"6606","48",Red,"ARM",0,0,0,0,0,1,Mobility,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Engaged,6,9,2,1,No,No,"I have no words",Fri Apr 21 2023 06:27:52 GMT+0000 (Coordinated Universal Time)
"2960","48",Blue,"JJR",1,0,0,0,0,1,Mobility,None,2,5,0,0,0,1,0,4,0,0,0,0,0,0,Park,3,0,0,4,Yes,No,"Struggle with placement ",Fri Apr 21 2023 06:28:52 GMT+0000 (Coordinated Universal Time)
"900","48",Blue,"JJR",1,0,0,0,0,0,Mobility,None,3,4,2,1,0,1,1,2,0,0,0,0,0,0,Engaged,0,0,0,6,Yes,No,"Bad driving ",Fri Apr 21 2023 06:32:53 GMT+0000 (Coordinated Universal Time)
"6657","48",Red,"ARM",0,0,0,0,0,1,Mobility,None,0,5,0,0,0,0,0,6,0,0,0,0,0,0,None,0,0,0,8,No,No,"Pure driver skill and single low fast",Fri Apr 21 2023 06:33:07 GMT+0000 (Coordinated Universal Time)
"7617","10",Red,"JW",0,1,0,0,1,0,Mobility,None,3,2,2,1,0,1,1,0,0,0,0,0,0,0,Engaged,2,0,0,6,Yes,No,"",Fri Apr 21 2023 06:33:50 GMT+0000 (Coordinated Universal Time)
"1816","48",Blue,"JJR",1,0,0,0,0,0,Mobility,Engaged,2,3,1,1,0,1,1,1,0,0,0,0,0,0,None,2,3,0,9,Yes,No,"Like a wrecking ball slamming into walls and opponents ",Fri Apr 21 2023 06:37:39 GMT+0000 (Coordinated Universal Time)
