Team Number,Match Number,Team Color,Scout Initals,Cone High Auto,Cone Mid Auto,Cone Low Auto,Cube High Auto,Cube Mid Auto,Cube Low Auto,Mobility Auto,Balance Auto,Cones Collected,Cubes Collected,Cone High,Cone Mid,Cone Low,Cube High,Cube Mid,Cube Low,Cone High (Full Grid),Cone Mid (Full Grid),Cone Low (Full Grid),Cube High (Full Grid),Cube Mid (Full Grid),Cube Low (Full Grid),Endgame Teleop,How in the way of own alliance (none (0) to lots (10)),How tippy (none (0) to lots (10)),How many penalties (none (0) to lots (10)),How speedy (0 (low speed) - 10 (high speed)),Swerve,Died?,Notes,Time Uploaded
"9084","25",Blue,"JW",6,0,0,0,0,0,3,0,5,2,5,12,0,5,3,2,0,0,0,0,0,0,6,0.9,1,1,0.9,1,1,"Be careful with 200% increased speed",Fri Apr 21 2023 05:01:57 GMT+0000 (Coordinated Universal Time)
"494","18",Red,"ATC4",0,0,0,6,0,0,3,12,5,1,20,3,0,5,0,0,0,0,0,0,0,0,10,0.7,0.9,1,0.7,1,1,"",Fri Apr 21 2023 05:04:51 GMT+0000 (Coordinated Universal Time)
"195","Qual 63",Red,"AS",0,0,0,0,4,3,3,0,7,3,10,6,6,5,0,2,0,0,0,0,0,0,10,1,0.7,1,0.9,1,1,"",Fri Apr 21 2023 05:06:05 GMT+0000 (Coordinated Universal Time)
"6657","11",Red,"ARM",0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,10,1,0.9,1,0.6,0,1,"Super duper charged bottom accidentally",Fri Apr 21 2023 05:06:24 GMT+0000 (Coordinated Universal Time)
"3538","12",Red,"JJR",0,4,0,0,0,0,3,0,7,1,15,12,0,5,0,0,0,0,0,0,0,0,10,1,1,0.9,0.8,1,1,"Rode up on bot",Fri Apr 21 2023 05:07:16 GMT+0000 (Coordinated Universal Time)
"1746","25",Blue,"JW",0,0,0,6,0,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.7,1,0.3,0.8,1,1,"Intake broke, defense penalty and perimeter violation",Fri Apr 21 2023 05:07:55 GMT+0000 (Coordinated Universal Time)
"857","Qual 62",Red,"AS",6,0,0,0,0,0,3,0,6,2,10,9,2,5,0,2,0,0,0,0,0,0,2,1,1,1,0.6,1,1,"",Fri Apr 21 2023 05:10:11 GMT+0000 (Coordinated Universal Time)
"8015","29",Red,"Hh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,"Red card, no show",Fri Apr 21 2023 05:13:09 GMT+0000 (Coordinated Universal Time)
"2642","26",Blue,"ATC4",6,0,0,0,0,0,3,12,3,3,10,0,2,0,3,2,0,0,0,0,0,0,10,0.6,0.7,1,0.5,0,1,"",Fri Apr 21 2023 05:13:10 GMT+0000 (Coordinated Universal Time)
"2920","Qual 61",Red,"AS",0,0,0,6,0,0,3,12,4,3,5,3,4,5,0,4,0,0,0,0,0,0,10,1,1,1,0.4,1,1,"",Fri Apr 21 2023 05:14:01 GMT+0000 (Coordinated Universal Time)
