Team Number,Scout Initals,Cone High Auto,Cone Mid Auto,Cone Low Auto,Cube High Auto,Cube Mid Auto,Cube Low Auto,Pieces Place auto,Mobility Auto,Balance Auto,Cones Collected,Cubes Collected,Cone High,Cone Mid,Cone Low,Cube High,Cube Mid,Cube Low,Piece placed,Endgame Teleop,How in the way of own alliance (none (0) to lots (10)),How tippy (none (0) to lots (10)),How good at defense (bad (0) to good (10)),Speed
6060,MR,0,0,0,0,0,1,1,Mobility,None,0,3,0,0,0,0,0,2,2,None,5,6,0,Slow
4014,AS,0,0,0,0,0,0,0,Mobility,None,0,0,0,0,0,0,0,0,0,Engaged,2,0,9,Fast
5869,LP,0,0,0,0,0,0,0,None,None,0,0,0,0,0,0,0,1,1,Docked,4,7,3,Slow
2659,LL,1,0,0,1,0,0,2,Mobility,None,2,3,2,0,0,2,0,3,7,Park,0,5,0,Fast
8768,MR,0,0,0,0,0,1,1,Mobility,None,3,3,1,2,0,1,1,0,5,None,0,1,0,Fast
687,LL,1,0,0,0,0,0,1,Mobility,None,3,3,1,2,0,2,1,0,6,Engaged,0,0,0,Fast
6657,MR,0,0,0,0,0,1,1,None,None,0,3,0,0,0,0,0,2,2,Engaged,1,0,0,Fast
7157,AS,1,0,0,0,0,1,2,Mobility,Docked,2,4,2,2,0,1,1,1,7,None,2,0,0,Fast
3476,LP,2,0,0,0,0,0,2,Mobility,Attempted,3,3,4,0,0,3,0,0,7,Engaged,0,0,0,Fast
3669,LP,1,0,0,0,0,0,1,Mobility,Engaged,5,0,0,3,1,0,0,0,4,Engaged,3,3,4,Normal
3749,AS,1,0,0,0,0,0,1,Mobility,None,0,6,0,0,0,1,0,5,6,Engaged,0,0,0,Normal
3759,LL,0,0,0,1,0,0,1,Mobility,None,0,5,0,0,0,1,0,5,6,Engaged,0,0,0,Fast
6072,MR,0,0,0,0,0,1,1,Mobility,None,0,2,0,0,0,0,2,1,3,None,2,0,0,Fast
4698,AS,0,0,1,0,0,0,1,None,None,1,6,0,0,1,0,0,7,8,None,0,0,0,Fast
4698,AS,0,0,1,0,0,0,1,None,None,1,6,0,0,1,0,0,7,8,Engaged,0,0,0,Fast
9084,LL,1,0,0,0,0,0,1,Mobility,None,5,2,4,0,0,2,0,0,6,Engaged,0,0,0,Fast
2073,LP,0,0,0,1,0,0,1,Mobility,Engaged,4,0,4,0,0,0,0,0,4,Engaged,2,0,0,Normal
6060,MR,0,0,0,0,0,1,1,None,None,0,4,0,0,0,0,0,4,4,None,3,6,0,Slow
3512,AS,1,0,0,0,0,0,1,Mobility,None,1,6,1,0,0,2,0,5,8,Park,0,0,0,Fast
981,LL,0,0,0,0,0,1,1,Mobility,None,0,2,0,0,0,0,0,1,1,Engaged,7,6,0,Slow
4419,LP,1,0,0,0,0,0,1,Mobility,Engaged,2,4,1,0,1,1,0,3,6,Engaged,3,2,0,Fast
4419,LP,1,0,0,0,0,0,1,Mobility,Engaged,2,4,1,0,1,1,0,3,6,Engaged,3,2,0,Fast
4014,AS,0,0,0,0,0,0,0,None,Engaged,0,0,0,0,0,0,0,0,0,Engaged,0,0,10,Fast
2404,LP,0,0,0,0,0,0,0,Mobility,None,0,0,0,0,0,0,0,0,0,Docked,5,7,3,Slow
4079,LL,0,0,0,1,0,0,1,Mobility,None,2,0,1,0,0,0,0,0,1,None,5,0,0,Slow
7607,MR,0,0,1,0,0,0,1,None,None,0,2,0,0,0,0,0,2,2,None,2,4,0,Slow
2375,AS,0,0,1,0,0,0,1,Mobility,None,0,3,0,0,0,0,0,3,3,None,4,0,0,Normal
687,LL,1,0,0,0,0,0,1,None,Engaged,3,4,3,0,0,3,0,1,7,Park,0,0,0,Fast
7042,LP,0,0,0,1,0,0,1,None,Attempted,3,0,1,0,1,0,0,0,2,Engaged,5,2,0,Slow
2659,LP,1,0,0,0,0,0,1,Mobility,None,4,6,2,0,1,1,1,3,8,None,3,0,0,Fast
