Team Number,Match Number,Team Color,Scout Initals,Cone High Auto,Cone Mid Auto,Cone Low Auto,Cube High Auto,Cube Mid Auto,Cube Low Auto,Mobility Auto,Balance Auto,Cones Collected,Cubes Collected,Cone High,Cone Mid,Cone Low,Cube High,Cube Mid,Cube Low,Cone High (Full Grid),Cone Mid (Full Grid),Cone Low (Full Grid),Cube High (Full Grid),Cube Mid (Full Grid),Cube Low (Full Grid),Endgame Teleop,How in the way of own alliance (none (0) to lots (10)),How tippy (none (0) to lots (10)),How many penalties (none (0) to lots (10)),How speedy (0 (low speed) - 10 (high speed)),Swerve,Died?,Notes,Time Uploaded
"3003","10",Blue,"JJR",0,0,0,0,0,0,Mobility,None,4,2,2,2,0,0,1,0,0,0,0,0,0,1,Engaged,5,1,0,2,Yes,No,"Sat in front of single substation for like 15 seconds ",Thu Apr 20 2023 14:54:28 GMT+0000 (Coordinated Universal Time)
"503","Qual 11",Red,"AS",0,0,0,0,1,0,Mobility,None,2,6,2,0,0,1,0,5,0,0,0,0,0,0,Engaged,0,0,1,7,Yes,No,"",Thu Apr 20 2023 15:00:08 GMT+0000 (Coordinated Universal Time)
"1123","11",Red,"AJ",0,0,0,1,1,0,Mobility,None,2,5,2,0,0,2,1,2,0,0,0,0,0,0,Engaged,0,0,0,7,Yes,No,"",Thu Apr 20 2023 15:00:51 GMT+0000 (Coordinated Universal Time)
"1123","11",Red,"AJ",0,0,0,1,1,0,Mobility,None,2,5,2,0,0,2,1,2,0,0,0,0,0,0,Engaged,0,0,0,7,Yes,No,"",Thu Apr 20 2023 15:00:59 GMT+0000 (Coordinated Universal Time)
"1123","11",Red,"AJ",0,0,0,1,1,0,Mobility,None,2,5,2,0,0,2,1,2,0,0,0,0,0,0,Engaged,0,0,0,7,Yes,No,"",Thu Apr 20 2023 15:01:06 GMT+0000 (Coordinated Universal Time)
"195","11",Blue,"WC",0,0,0,1,0,1,Mobility,None,7,1,1,3,3,0,0,0,6,6,3,3,3,3,Engaged,4,8,5,6,Yes,No,"Spinning wrist",Thu Apr 20 2023 15:01:49 GMT+0000 (Coordinated Universal Time)
"1468","11",Blue,"Jjr",1,0,0,0,0,0,None,Docked,4,0,2,3,1,0,0,0,0,0,0,0,0,0,None,3,0,0,8,Yes,No,"Pretty decent def on the side as well as scoring ",Thu Apr 20 2023 15:02:05 GMT+0000 (Coordinated Universal Time)
"1468","11",Blue,"Jjr",1,0,0,0,0,0,None,Docked,4,0,2,3,1,0,0,0,0,0,0,0,0,0,None,3,0,0,8,Yes,No,"Pretty decent def on the side as well as scoring ",Thu Apr 20 2023 15:02:05 GMT+0000 (Coordinated Universal Time)
"1468","11",Blue,"Jjr",1,0,0,0,0,0,None,Docked,4,0,2,3,1,0,0,0,0,0,0,0,0,0,None,3,0,0,8,Yes,No,"Pretty decent def on the side as well as scoring ",Thu Apr 20 2023 15:02:06 GMT+0000 (Coordinated Universal Time)
"1468","11",Blue,"Jjr",1,0,0,0,0,0,None,Docked,4,0,2,3,1,0,0,0,0,0,0,0,0,0,None,3,0,0,8,Yes,No,"Pretty decent def on the side as well as scoring ",Thu Apr 20 2023 15:02:07 GMT+0000 (Coordinated Universal Time)
"1468","11",Blue,"Jjr",1,0,0,0,0,0,None,Docked,4,0,2,3,1,0,0,0,0,0,0,0,0,0,None,3,0,0,8,Yes,No,"Pretty decent def on the side as well as scoring ",Thu Apr 20 2023 15:02:07 GMT+0000 (Coordinated Universal Time)
"7285","Qual 12",Red,"AS",0,0,0,0,1,0,Mobility,None,8,0,2,5,1,0,0,0,0,0,0,0,0,0,Engaged,0,0,0,6,Yes,No,"",Thu Apr 20 2023 15:07:03 GMT+0000 (Coordinated Universal Time)
"1629","12",Blue,"WC",0,0,0,1,0,0,Mobility,Engaged,3,2,2,0,1,0,2,0,0,0,0,0,0,0,Engaged,4,6,2,3,Yes,No,"Can’t pick up off ground",Thu Apr 20 2023 15:07:16 GMT+0000 (Coordinated Universal Time)
"3161","12",Blue,"JJR",0,1,0,0,1,0,Mobility,None,3,1,0,0,1,1,0,0,0,0,0,0,0,0,Engaged,7,2,0,6,Yes,No,"Broke after being hit and shifted to def",Thu Apr 20 2023 15:10:02 GMT+0000 (Coordinated Universal Time)
"3478","12",Red,"AJ",0,0,1,0,0,0,Attempted Mobility,None,5,1,3,0,2,1,0,0,0,0,0,0,0,0,None,0,0,0,3,Yes,No,"",Thu Apr 20 2023 15:12:45 GMT+0000 (Coordinated Universal Time)
"3478","12",Red,"AJ",0,0,1,0,0,0,Attempted Mobility,None,5,1,3,0,2,1,0,0,0,0,0,0,0,0,None,0,0,0,3,Yes,No,"",Thu Apr 20 2023 15:13:01 GMT+0000 (Coordinated Universal Time)
"3478","12",Red,"AJ",0,0,1,0,0,0,Attempted Mobility,None,5,1,3,0,2,1,0,0,0,0,0,0,0,0,None,0,0,0,3,Yes,No,"",Thu Apr 20 2023 15:13:14 GMT+0000 (Coordinated Universal Time)
"3478","12",Red,"AJ",0,0,1,0,0,0,Attempted Mobility,None,5,1,3,0,2,1,0,0,0,0,0,0,0,0,None,0,0,0,3,Yes,No,"",Thu Apr 20 2023 15:13:38 GMT+0000 (Coordinated Universal Time)
"4099","13",Blue,"JJR",0,0,0,0,0,0,None,None,4,2,1,0,1,1,1,2,0,0,0,0,0,0,Engaged,4,0,1,2,Yes,No,"",Thu Apr 20 2023 15:15:43 GMT+0000 (Coordinated Universal Time)
"9023","13",Red,"AK",0,1,0,0,0,0,Mobility,None,1,1,0,1,0,0,1,0,0,0,0,0,0,0,Engaged,0,0,0,5,Yes,No,"",Thu Apr 20 2023 15:16:07 GMT+0000 (Coordinated Universal Time)
"4099","13",Blue,"JJR",0,0,0,0,0,0,None,None,4,2,1,0,1,1,1,2,0,0,0,0,0,0,Engaged,4,0,1,2,Yes,No,"",Thu Apr 20 2023 15:16:21 GMT+0000 (Coordinated Universal Time)
"8808","13",Blue,"WC",0,0,0,1,0,0,Mobility,None,1,3,1,0,0,0,3,0,6,1,1,3,3,2,Engaged,6,7,0,3,Yes,No,"Bad intake ",Thu Apr 20 2023 15:16:26 GMT+0000 (Coordinated Universal Time)
"4145","Qual 13",Red,"AS",0,0,0,1,0,0,Mobility,Attempted,5,1,4,1,0,0,0,0,0,0,0,0,0,0,Engaged,0,0,0,6,Yes,No,"",Thu Apr 20 2023 15:16:59 GMT+0000 (Coordinated Universal Time)
"14","857",Red,"AJ",1,0,0,0,0,0,None,None,2,2,1,1,0,1,0,1,0,0,0,0,0,0,None,0,0,0,0,Yes,No,"",Thu Apr 20 2023 15:22:01 GMT+0000 (Coordinated Universal Time)
"14","857",Red,"AJ",1,0,0,0,0,0,None,None,2,2,1,1,0,1,0,1,0,0,0,0,0,0,None,0,0,0,0,Yes,No,"",Thu Apr 20 2023 15:22:01 GMT+0000 (Coordinated Universal Time)
